table_name,column_name,data_type,definition,source_type,source_name,source_reference,raw_derived_synthetic,generation_logic,business_purpose
location_demand,measured_on,DATE,Measured on.,CONFIG,ETL configuration,python/config.py,CONFIG,"Join key, snapshot date or source label.",Demand and revenue analysis input
location_demand,record_source,TEXT,Record source.,CONFIG,ETL configuration,python/config.py,CONFIG,"Join key, snapshot date or source label.",Demand and revenue analysis input
competition,parking_id,INTEGER,Stable key for one candidate parking facility.,CONFIG,ETL configuration,python/config.py,CONFIG,"Join key, snapshot date or source label.",Competition opportunity input
competition,competitor_count_500m,INTEGER,Directly comparable OSM parking facilities within 500 metres.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Radius count/distance from accessible comparable OSM parking; capacity sums only published capacity tags.,Competition opportunity input
competition,competitor_count_1km,INTEGER,Directly comparable OSM parking facilities within one kilometre.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Radius count/distance from accessible comparable OSM parking; capacity sums only published capacity tags.,Competition opportunity input
competition,nearest_competitor_distance_m,TEXT,Great-circle distance to the nearest direct competitor within one kilometre.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Radius count/distance from accessible comparable OSM parking; capacity sums only published capacity tags.,Competition opportunity input
competition,competitor_avg_hourly_rate_inr,TEXT,Competitor avg hourly rate inr.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Generated because comparable public tariff/platform-listing coverage is unavailable.,Competition opportunity input
competition,competitor_total_capacity_1km,INTEGER,Sum of published OSM capacities among direct competitors within one kilometre; null when none publish capacity.,DERIVED,OpenStreetMap,data/external/osm_features_snapshot.json,DERIVED,Radius count/distance from accessible comparable OSM parking; capacity sums only published capacity tags.,Competition opportunity input
competition,aggregator_listed_count_1km,INTEGER,Aggregator listed count 1km.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Generated because comparable public tariff/platform-listing coverage is unavailable.,Competition opportunity input
competition,measured_on,DATE,Measured on.,CONFIG,ETL configuration,python/config.py,CONFIG,"Join key, snapshot date or source label.",Competition opportunity input
competition,record_source,TEXT,Record source.,CONFIG,ETL configuration,python/config.py,CONFIG,"Join key, snapshot date or source label.",Competition opportunity input
lot_acquisition_terms,parking_id,INTEGER,Stable key for one candidate parking facility.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Acquisition feasibility and BD funnel input
lot_acquisition_terms,expected_commission_pct,"NUMERIC(4,2)",Expected commission pct.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Acquisition feasibility and BD funnel input
lot_acquisition_terms,estimated_onboarding_cost_inr,"NUMERIC(10,2)",Estimated onboarding cost inr.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Acquisition feasibility and BD funnel input
lot_acquisition_terms,documentation_readiness,INTEGER,Documentation readiness.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Acquisition feasibility and BD funnel input
lot_acquisition_terms,operational_complexity,INTEGER,Operational complexity.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Acquisition feasibility and BD funnel input
lot_acquisition_terms,exclusivity_possible,BOOLEAN,Exclusivity possible.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Acquisition feasibility and BD funnel input
lot_acquisition_terms,requires_capex,BOOLEAN,Requires capex.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Acquisition feasibility and BD funnel input
lot_acquisition_terms,estimated_setup_days,INTEGER,Estimated setup days.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Acquisition feasibility and BD funnel input
lot_acquisition_terms,quoted_on,DATE,Quoted on.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Acquisition feasibility and BD funnel input
existing_network_sites,network_site_id,INTEGER,Network site id.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Strategic coverage-gap input
existing_network_sites,site_code,TEXT,Site code.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Strategic coverage-gap input
existing_network_sites,locality_id,INTEGER,Key for the selected Delhi NCR micro-market.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Strategic coverage-gap input
existing_network_sites,latitude,"NUMERIC(9,6)",WGS84 latitude of the OSM parking feature centroid or node.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Strategic coverage-gap input
existing_network_sites,longitude,"NUMERIC(9,6)",WGS84 longitude of the OSM parking feature centroid or node.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Strategic coverage-gap input
existing_network_sites,capacity_cars,INTEGER,Concurrent four-wheeler bay capacity.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Strategic coverage-gap input
existing_network_sites,live_since,DATE,Live since.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Strategic coverage-gap input
existing_network_sites,site_status,TEXT,Site status.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Strategic coverage-gap input
fact_lot_daily,parking_id,INTEGER,Stable key for one candidate parking facility.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Demand and revenue analysis input
fact_lot_daily,activity_date,DATE,Activity date.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Demand and revenue analysis input
fact_lot_daily,peak_occupancy_rate,"NUMERIC(5,4)","Maximum concurrent occupied share that day, expressed from 0 to 1.",SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Demand and revenue analysis input
fact_lot_daily,avg_occupancy_rate,"NUMERIC(5,4)","Mean occupied share of capacity, expressed from 0 to 1.",SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Demand and revenue analysis input
fact_lot_daily,vehicle_entries,INTEGER,Vehicles served across all channels during the day.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Demand and revenue analysis input
fact_lot_daily,platform_bookings,INTEGER,Synthetic subset of vehicle entries attributed to the platform.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Demand and revenue analysis input
fact_lot_daily,booking_cancellations,INTEGER,Synthetic cancelled subset of platform bookings.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Demand and revenue analysis input
fact_lot_daily,gross_parking_revenue_inr,"NUMERIC(10,2)",Synthetic gross daily parking revenue earned by the operator.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Demand and revenue analysis input
fact_lot_daily,avg_park_duration_hours,"NUMERIC(4,2)",Avg park duration hours.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Demand and revenue analysis input
fact_lot_hourly_profile,parking_id,INTEGER,Stable key for one candidate parking facility.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Demand and revenue analysis input
fact_lot_hourly_profile,day_type,TEXT,Day type.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Demand and revenue analysis input
fact_lot_hourly_profile,hour_of_day,INTEGER,Hour of day.,CONFIG,ETL configuration,python/config.py,CONFIG,Stable key or deterministic time grain.,Demand and revenue analysis input
fact_lot_hourly_profile,avg_occupancy_rate,"NUMERIC(5,4)","Mean occupied share of capacity, expressed from 0 to 1.",SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Demand and revenue analysis input
fact_lot_hourly_profile,avg_entries,"NUMERIC(6,2)",Avg entries.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Relationship-aware simulation with fixed seed and documented noise.,Demand and revenue analysis input
outreach,lead_id,INTEGER,Lead id.,CONFIG,ETL configuration,python/etl/synthetic_generation.py,CONFIG,Stable join key or anonymous workload label.,Acquisition feasibility and BD funnel input
outreach,parking_id,INTEGER,Stable key for one candidate parking facility.,CONFIG,ETL configuration,python/etl/synthetic_generation.py,CONFIG,Stable join key or anonymous workload label.,Acquisition feasibility and BD funnel input
outreach,lead_source,TEXT,Lead source.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Sequential transition model driven by readiness, accessibility and lead-source quality with noise.",Acquisition feasibility and BD funnel input
outreach,first_contact_date,DATE,First contact date.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Sequential transition model driven by readiness, accessibility and lead-source quality with noise.",Acquisition feasibility and BD funnel input
outreach,contact_attempts,INTEGER,Contact attempts.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Sequential transition model driven by readiness, accessibility and lead-source quality with noise.",Acquisition feasibility and BD funnel input
outreach,furthest_stage_id,INTEGER,Deepest sequential BD funnel stage reached by the lead.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Sequential transition model driven by readiness, accessibility and lead-source quality with noise.",Acquisition feasibility and BD funnel input
outreach,pipeline_status,TEXT,Pipeline status.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Sequential transition model driven by readiness, accessibility and lead-source quality with noise.",Acquisition feasibility and BD funnel input
outreach,lost_reason,TEXT,Lost reason.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Sequential transition model driven by readiness, accessibility and lead-source quality with noise.",Acquisition feasibility and BD funnel input
outreach,documents_available,BOOLEAN,Documents available.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Sequential transition model driven by readiness, accessibility and lead-source quality with noise.",Acquisition feasibility and BD funnel input
outreach,owner_interest_level,INTEGER,Owner interest level.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Sequential transition model driven by readiness, accessibility and lead-source quality with noise.",Acquisition feasibility and BD funnel input
outreach,conversion_date,DATE,Conversion date.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,"Sequential transition model driven by readiness, accessibility and lead-source quality with noise.",Acquisition feasibility and BD funnel input
outreach,assigned_bd_rep,TEXT,Assigned bd rep.,CONFIG,ETL configuration,python/etl/synthetic_generation.py,CONFIG,Stable join key or anonymous workload label.,Acquisition feasibility and BD funnel input
outreach,days_to_conversion,INTEGER,Conversion date minus first contact date in calendar days.,DERIVED,PostgreSQL generated column,database/schema/04_bd_pipeline.sql,DERIVED,conversion_date minus first_contact_date.,Acquisition feasibility and BD funnel input
outreach_events,event_id,INTEGER,Event id.,CONFIG,Funnel configuration,database/seeds/01_seed_reference.sql,CONFIG,Stable key or sequential stage key.,Acquisition feasibility and BD funnel input
outreach_events,lead_id,INTEGER,Lead id.,CONFIG,Funnel configuration,database/seeds/01_seed_reference.sql,CONFIG,Stable key or sequential stage key.,Acquisition feasibility and BD funnel input
outreach_events,stage_id,INTEGER,Stage id.,CONFIG,Funnel configuration,database/seeds/01_seed_reference.sql,CONFIG,Stable key or sequential stage key.,Acquisition feasibility and BD funnel input
outreach_events,event_date,DATE,Event date.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Contiguous dated stage-entry sequence.,Acquisition feasibility and BD funnel input
outreach_events,channel,TEXT,Channel.,SYNTHETIC,Deterministic generator,python/etl/synthetic_generation.py,SYNTHETIC,Contiguous dated stage-entry sequence.,Acquisition feasibility and BD funnel input
