Table,Column,Data type,Definition,Source type,Source/reference,Raw/derived/synthetic,Generation logic,Business purpose
bd_acquisition_targets,parking_id,integer,scoring bd_acquisition_targets field: parking id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,parking_name,text,scoring bd_acquisition_targets field: parking name.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,locality_name,text,scoring bd_acquisition_targets field: locality name.,DERIVED,Cached OpenStreetMap snapshot + source cleaning/geo derivation,Derived,Calculated from public coordinates/features; sparse coverage is not proof of absence.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,acquisition_score,numeric,Weighted 0-100 composite under the identified scenario.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,demand_score,numeric,0-100 Demand Potential pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,revenue_score,numeric,0-100 Revenue Potential pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,competition_score,numeric,0-100 Competition Opportunity pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,strategic_fit_score,numeric,0-100 Strategic Fit pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,feasibility_score,numeric,0-100 Acquisition Feasibility pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,priority_segment,text,scoring bd_acquisition_targets field: priority segment.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,expected_monthly_platform_revenue_inr,numeric,"Illustrative synthetic monthly platform contribution; ordering input, not a forecast.",DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,estimated_onboarding_cost_inr,numeric,scoring bd_acquisition_targets field: estimated onboarding cost inr.,SYNTHETIC,python/etl/synthetic_generation.py and source data_generation.md,Synthetic,Relationship-aware deterministic simulation with the documented fixed seed.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,willingness_to_digitize,smallint,scoring bd_acquisition_targets field: willingness to digitize.,SYNTHETIC,python/etl/synthetic_generation.py and source data_generation.md,Synthetic,Relationship-aware deterministic simulation with the documented fixed seed.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,nearest_network_distance_km,double precision,scoring bd_acquisition_targets field: nearest network distance km.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,positive_reason_flags,ARRAY,scoring bd_acquisition_targets field: positive reason flags.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,constraint_reason_flags,ARRAY,scoring bd_acquisition_targets field: constraint reason flags.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,recommendation,text,scoring bd_acquisition_targets field: recommendation.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,is_top_10,boolean,scoring bd_acquisition_targets field: is top 10.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,is_top_20,boolean,scoring bd_acquisition_targets field: is top 20.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
bd_acquisition_targets,is_top_50,boolean,scoring bd_acquisition_targets field: is top 50.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,locality_id,smallint,scoring locality_acquisition_summary field: locality id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,locality_name,text,scoring locality_acquisition_summary field: locality name.,DERIVED,Cached OpenStreetMap snapshot + source cleaning/geo derivation,Derived,Calculated from public coordinates/features; sparse coverage is not proof of absence.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,city_name,text,scoring locality_acquisition_summary field: city name.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,micro_market_type,text,scoring locality_acquisition_summary field: micro market type.,ASSUMED,the data pipeline documented assumptions and market classification,Assumed,Analyst-defined prior or fallback classification; not presented as observed fact.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,opportunity_count,integer,scoring locality_acquisition_summary field: opportunity count.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,total_candidate_capacity_cars,integer,scoring locality_acquisition_summary field: total candidate capacity cars.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,average_demand_score,numeric,scoring locality_acquisition_summary field: average demand score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,average_revenue_score,numeric,scoring locality_acquisition_summary field: average revenue score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,average_competition_score,numeric,scoring locality_acquisition_summary field: average competition score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,average_strategic_fit_score,numeric,scoring locality_acquisition_summary field: average strategic fit score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,average_feasibility_score,numeric,scoring locality_acquisition_summary field: average feasibility score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,average_acquisition_score,numeric,scoring locality_acquisition_summary field: average acquisition score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,expected_monthly_platform_revenue_inr,numeric,"Illustrative synthetic monthly platform contribution; ordering input, not a forecast.",DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,live_network_site_count,integer,scoring locality_acquisition_summary field: live network site count.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,live_network_capacity_cars,integer,scoring locality_acquisition_summary field: live network capacity cars.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,market_whitespace_score,numeric,0-100 location-demand strength adjusted for hypothetical local network coverage.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,high_priority_opportunity_count,integer,scoring locality_acquisition_summary field: high priority opportunity count.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
locality_acquisition_summary,generated_at,timestamp with time zone,scoring locality_acquisition_summary field: generated at.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_dimension_score,parking_id,integer,scoring lot_dimension_score field: parking id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
lot_dimension_score,weight_set_id,smallint,scoring lot_dimension_score field: weight set id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
lot_dimension_score,dimension_code,text,scoring lot_dimension_score field: dimension code.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_dimension_score,subscore,numeric,scoring lot_dimension_score field: subscore.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_dimension_score,weight_applied,numeric,Weight applied to this pillar under the selected weight set.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_dimension_score,weighted_contribution,numeric,Pillar score multiplied by the selected weight set weight.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_rank_stability,parking_id,integer,scoring lot_rank_stability field: parking id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
lot_rank_stability,scenarios_evaluated,smallint,scoring lot_rank_stability field: scenarios evaluated.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_rank_stability,top_10_scenario_count,smallint,scoring lot_rank_stability field: top 10 scenario count.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_rank_stability,rank_stability_pct,numeric,Share of primary scenarios where the lot appears in the Top 10.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_rank_stability,stability_class,text,scoring lot_rank_stability field: stability class.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_rank_stability,median_rank,numeric,scoring lot_rank_stability field: median rank.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_rank_stability,min_rank,integer,scoring lot_rank_stability field: min rank.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_rank_stability,max_rank,integer,scoring lot_rank_stability field: max rank.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_rank_stability,generated_at,timestamp with time zone,scoring lot_rank_stability field: generated at.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,parking_id,integer,scoring lot_scenario_score field: parking id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,scenario_id,smallint,scoring lot_scenario_score field: scenario id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,demand_score,numeric,0-100 Demand Potential pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,revenue_score,numeric,0-100 Revenue Potential pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,competition_score,numeric,0-100 Competition Opportunity pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,strategic_fit_score,numeric,0-100 Strategic Fit pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,feasibility_score,numeric,0-100 Acquisition Feasibility pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,achievable_utilization,numeric,scoring lot_scenario_score field: achievable utilization.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,expected_monthly_platform_revenue_inr,numeric,"Illustrative synthetic monthly platform contribution; ordering input, not a forecast.",DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,expected_revenue_per_space_inr,numeric,scoring lot_scenario_score field: expected revenue per space inr.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,adjusted_onboarding_cost_inr,numeric,scoring lot_scenario_score field: adjusted onboarding cost inr.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,attractiveness_score,numeric,"Weighted blend of non-feasibility pillars, re-normalised to 0-100.",DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,acquisition_score,numeric,Weighted 0-100 composite under the identified scenario.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,segment_code,text,Business action segment derived from attractiveness and feasibility thresholds.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,rank_overall,integer,Unique descending rank within a scenario.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_scenario_score,scored_at,timestamp with time zone,scoring lot_scenario_score field: scored at.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_score,parking_id,integer,scoring lot_score field: parking id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
lot_score,weight_set_id,smallint,scoring lot_score field: weight set id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
lot_score,attractiveness_score,numeric,"Weighted blend of non-feasibility pillars, re-normalised to 0-100.",DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_score,feasibility_score,numeric,0-100 Acquisition Feasibility pillar score.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_score,acquisition_score,numeric,Weighted 0-100 composite under the identified scenario.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_score,segment_code,text,Business action segment derived from attractiveness and feasibility thresholds.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_score,rank_overall,integer,Unique descending rank within a scenario.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
lot_score,scored_at,timestamp with time zone,scoring lot_score field: scored at.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,parking_id,integer,scoring parking_acquisition_features field: parking id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,lot_code,text,scoring parking_acquisition_features field: lot code.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,lot_name,text,scoring parking_acquisition_features field: lot name.,DERIVED,Cached OpenStreetMap snapshot + source cleaning/geo derivation,Derived,Calculated from public coordinates/features; sparse coverage is not proof of absence.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,locality_id,smallint,scoring parking_acquisition_features field: locality id.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,locality_name,text,scoring parking_acquisition_features field: locality name.,DERIVED,Cached OpenStreetMap snapshot + source cleaning/geo derivation,Derived,Calculated from public coordinates/features; sparse coverage is not proof of absence.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,city_name,text,scoring parking_acquisition_features field: city name.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,micro_market_type,text,scoring parking_acquisition_features field: micro market type.,ASSUMED,the data pipeline documented assumptions and market classification,Assumed,Analyst-defined prior or fallback classification; not presented as observed fact.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,population_density_band,text,scoring parking_acquisition_features field: population density band.,ASSUMED,the data pipeline documented assumptions and market classification,Assumed,Analyst-defined prior or fallback classification; not presented as observed fact.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,owner_id,integer,scoring parking_acquisition_features field: owner id.,SYNTHETIC,python/etl/synthetic_generation.py and source data_generation.md,Synthetic,Relationship-aware deterministic simulation with the documented fixed seed.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,owner_type,text,scoring parking_acquisition_features field: owner type.,SYNTHETIC,python/etl/synthetic_generation.py and source data_generation.md,Synthetic,Relationship-aware deterministic simulation with the documented fixed seed.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,latitude,numeric,scoring parking_acquisition_features field: latitude.,PUBLIC,Cached OpenStreetMap snapshot and element references,Public,Copied from the cached public source; no runtime API call is required.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,longitude,numeric,scoring parking_acquisition_features field: longitude.,PUBLIC,Cached OpenStreetMap snapshot and element references,Public,Copied from the cached public source; no runtime API call is required.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,parking_type,text,scoring parking_acquisition_features field: parking type.,ASSUMED,the data pipeline documented assumptions and market classification,Assumed,Analyst-defined prior or fallback classification; not presented as observed fact.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,capacity_cars,smallint,scoring parking_acquisition_features field: capacity cars.,SYNTHETIC,python/etl/synthetic_generation.py and source data_generation.md,Synthetic,Relationship-aware deterministic simulation with the documented fixed seed.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,hourly_rate_inr,numeric,scoring parking_acquisition_features field: hourly rate inr.,SYNTHETIC,python/etl/synthetic_generation.py and source data_generation.md,Synthetic,Relationship-aware deterministic simulation with the documented fixed seed.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,is_24x7,boolean,scoring parking_acquisition_features field: is 24x7.,SYNTHETIC,python/etl/synthetic_generation.py and source data_generation.md,Synthetic,Relationship-aware deterministic simulation with the documented fixed seed.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,operating_hours,numeric,scoring parking_acquisition_features field: operating hours.,DERIVED,sql/analysis/component_scores.sql and python/analysis/scoring_engine.py,Derived,Computed by the scoring analytical layer; see scoring_methodology.md.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,record_source,text,scoring parking_acquisition_features field: record source.,CONFIG,baseline schema/seed and source ETL keys,Config,Stable join key or scenario identifier; not an observed business measure.,Explainable acquisition prioritisation and BD drill-down.
parking_acquisition_features,source_name,text,scoring parking_acquisition_features field: source name.,PUBLIC,Cached OpenStreetMap snapshot and element references,Public,Copied from the cached public source; no runtime API call is required.,Explainable acquisition prioritisation and BD drill-down.
